GPMC_CLK	R26
USB1_DM	AH13
USB1_ID	AH12
USB1_CE	AH14
USB1_VBUSIN	AG14
USB1_DRVVBUS	L5
VIN[0]B_CLK	AE17
VIN[0]A_CLK	AB20
VIN[0]A_D[23]	AC16
VIN[0]A_D[22]	AC21
VIN[0]A_D[21]	AE18
VIN[0]A_D[20]	AC17
VIN[0]A_D[19]	AF21
VIN[0]A_D[18]	AF20
VIN[0]A_D[17]	AB21
VIN[0]A_D[16]	AA21
VIN[0]A_D[15]_BD[7]	AC14
VIN[0]A_D[14]_BD[6]	AC12
VIN[0]A_D[13]_BD[5]	AF17
VIN[0]A_D[12]_BD[4]	AG17
VIN[0]A_D[11]_BD[3]	AH17
VIN[0]A_D[10]_BD[2]	AH9
VIN[0]A_D[9]_BD[1]	AG9
VIN[0]A_D[8]_BD[0]	AB15
VIN[0]A_D[7]	AA11
VIN[0]A_D[6]	AH16
VIN[0]A_D[5]	AG16
VIN[0]A_D[4]	AH8
VIN[0]A_D[3]	AE12
VIN[0]A_D[2]	AC9
VIN[0]A_D[1]	AB11
VIN[0]A_D[0]	AF9
VIN[0]B_HSYNC	AE21
VIN[0]A_HSYNC	AC20
VIN[0]B_VSYNC	AA20
VIN[0]A_VSYNC	AD20
VIN[0]B_FLD	AD17
VIN[0]A_FLD	AC22
VIN[0]B_DE	AC15
VIN[0]A_DE	AB17
VOUT[0]_CLK	AD12
VOUT[0]_G_Y_YC[9]	AF14
VOUT[0]_G_Y_YC[8]	AE14
VOUT[0]_G_Y_YC[7]	AD14
VOUT[0]_G_Y_YC[6]	AA8
VOUT[0]_G_Y_YC[5]	AB12
VOUT[0]_G_Y_YC[4]	AB8
VOUT[0]_G_Y_YC[3]	AH15
VOUT[0]_G_Y_YC[2]	AH7
VOUT[0]_B_CB_C[9]	AG15
VOUT[0]_B_CB_C[8]	AF15
VOUT[0]_B_CB_C[7]	AB10
VOUT[0]_B_CB_C[6]	AC10
VOUT[0]_B_CB_C[5]	AD15
VOUT[0]_B_CB_C[4]	AD11
VOUT[0]_B_CB_C[3]	AE15
VOUT[0]_B_CB_C[2]	AG7
VOUT[0]_R_CR[9]	AC13
VOUT[0]_R_CR[8]	AE8
VOUT[0]_R_CR[7]	AF12
VOUT[0]_R_CR[6]	AF6
VOUT[0]_R_CR[5]	AF8
VOUT[0]_R_CR[4]	AA9
VOUT[0]_R_CR[3]	AB9
VOUT[0]_R_CR[2]	AD9
VOUT[0]_VSYNC	AB13
VOUT[0]_HSYNC	AC11
VOUT[0]_FLD	AF18
VOUT[0]_AVID	AA10
SPI[0]_SCLK	AC7
SPI[0]_SCS[1]	AE5
SPI[0]_SCS[0]	AD6
SPI[0]_D[1]	AF3
SPI[0]_D[0]	AE3
SD0_CLK	Y6
SD0_CMD	N1
SD0_DAT[0]	R7
SD0_DAT[1]_SDIRQ	Y5
SD0_DAT[2]_SDRW	Y3
SD0_DAT[3]	Y4
SD0_DAT[4]/	V4
SD0_DAT[5]	T6
SD0_DAT[6]	N2
SD0_DAT[7]	V6
SD0_SDCD	AE6
GP0[31]	U3
GP0[30]	T2
GP0[29]	U4
GP0[28]	L6
GP0[27]	L7
GP0[26]	H5
GP0[25]	J3
GP0[24]	J4
GP0[23]	H6
GP0[22]	H3
GP0[21]	K7
GP0[20]	F2
GP0[19]	G2
GP0[18]	G1

